1751036400000,"2423.24000000","2442.63000000","2419.57000000","2438.25000000","12651.23160000",1751039999999,"30771503.51536400",95386,"7664.03670000","18640480.53498900","0"
1751040000000,"2438.26000000","2449.44000000","2431.70000000","2433.43000000","12494.01080000",1751043599999,"30465388.73413400",106661,"5200.98230000","12687473.39517900","0"
1751043600000,"2433.42000000","2433.43000000","2395.75000000","2404.88000000","20813.79250000",1751047199999,"50176623.47831700",147947,"7690.70410000","18542837.12423900","0"
1751047200000,"2404.87000000","2408.72000000","2388.29000000","2394.98000000","14356.45350000",1751050799999,"34411483.20036400",132041,"6821.31590000","16355180.46033900","0"
1751050800000,"2394.97000000","2418.18000000","2392.42000000","2412.67000000","11037.34570000",1751054399999,"26570733.15330200",110766,"6898.17380000","16605483.52839300","0"
1751054400000,"2412.67000000","2427.54000000","2411.54000000","2426.20000000","9779.28480000",1751057999999,"23682444.70386900",75328,"6441.39520000","15598940.94984100","0"
1751058000000,"2426.20000000","2429.47000000","2417.15000000","2419.85000000","11431.01910000",1751061599999,"27704429.63180100",65208,"5328.18570000","12912458.86895300","0"
1751061600000,"2419.85000000","2425.03000000","2419.70000000","2422.32000000","6123.52010000",1751065199999,"14833895.13027600",37387,"4354.02940000","10546851.55533700","0"
1751065200000,"2422.32000000","2424.42000000","2415.01000000","2423.17000000","11343.38420000",1751068799999,"27452072.09862900",39956,"5161.57470000","12491602.69816300","0"
1751068800000,"2423.17000000","2423.91000000","2416.94000000","2418.30000000","7184.69740000",1751072399999,"17384875.64031300",41195,"4640.73340000","11228782.29362800","0"
1751072400000,"2418.30000000","2419.70000000","2405.81000000","2417.58000000","8700.77330000",1751075999999,"20996386.59121700",57237,"4463.33830000","10771557.44038700","0"
1751076000000,"2417.59000000","2422.60000000","2415.01000000","2418.88000000","3410.84420000",1751079599999,"8252599.09368900",30933,"1537.48060000","3720242.02006500","0"
1751079600000,"2418.89000000","2422.48000000","2416.84000000","2420.93000000","3276.79300000",1751083199999,"7931285.08371200",27259,"1515.09720000","3667265.60087000","0"
1751083200000,"2420.93000000","2422.41000000","2417.96000000","2421.19000000","4090.52610000",1751086799999,"9900782.02222100",19733,"1152.19280000","2788735.59816300","0"
1751086800000,"2421.18000000","2428.75000000","2417.86000000","2422.20000000","9174.07870000",1751090399999,"22228163.32356200",31806,"3690.27260000","8942797.06408800","0"
